Position,Elevation,Slope,Aspect,TPI
BA-01,1514.107421875,37.11127966963462,44.44776101091641,-12.48419189453125
BA-02,1453.2926025390625,25.118795708647898,74.27399256846644,-1.85943603515625
BA-03,1535.322998046875,38.201744478303915,47.460283327110766,-5.825714111328125
BA-04,2212.08935546875,30.179522279000654,118.35678458624918,-1.284515380859375
BA-05,2203.87158203125,20.817518985652143,72.21231087660047,0.740447998046875
BA-06,3600.777587890625,25.885836094584725,93.8584800260363,3.370086669921875
BA-07,3598.12548828125,37.629526699285435,1.1959003232234735,-9.3033447265625
BA-08,3395.69873046875,25.343426894379043,198.2763313133172,-2.778594970703125
BA-09,3407.0908203125,28.850394974124015,224.039087461329,2.100860595703125
BA-10,3023.04052734375,30.792316116161963,206.4541736127682,-7.141937255859375
BA-11,2875.419189453125,23.93183470261133,119.61186237628941,5.644287109375
BA-12,2721.46875,16.025363580305548,145.30713090965207,0.137237548828125
BA-13,2426.57275390625,28.896458918842768,104.78003593886855,4.563873291015625
BA-14,2748.30810546875,30.67965321704041,177.5771369650898,-10.59844970703125
BA-15,2440.23486328125,24.532142442838243,90.22041641240722,0.94793701171875
CN-01,2500.07421875,18.322531670654374,30.538576627267826,-3.989044189453125
CN-02,2650.969482421875,33.9503543788233,307.10691435747884,0.884185791015625
CN-03,2774.50830078125,36.63221680290764,254.80433681469728,5.0286865234375
CN-04,2589.21240234375,22.91936938008849,355.7759521836423,-0.730133056640625
CN-05,2665.550537109375,28.570951661447925,346.91505276752713,-8.923248291015625
CN-06,2821.052978515625,28.34299954004909,42.08653675632974,1.7177734375
CN-07,2865.55322265625,23.79081124271651,42.77154042273271,-6.569122314453125
CN-08,2933.540283203125,24.1054391328213,74.81608077956253,-1.3450927734375
CN-09,3225.434326171875,20.782395440368873,137.00659499002546,4.636627197265625
CN-10,3329.543701171875,14.667471488932232,71.12676491363398,0.591552734375
CN-11,3428.97265625,15.394366559300037,300.34594012850494,0.833343505859375
CN-12,3316.65966796875,18.798984676295493,279.29909049953125,-1.501068115234375
CN-13,3693.4130859375,18.783658284355695,278.3524371657982,-0.800140380859375
CN-14,3755.50048828125,5.971230128148719,270.74225016944746,-0.219970703125
CN-15,3199.659912109375,21.624989798261996,359.18811784727484,-1.432159423828125
GB-01,3682.85302734375,22.073722168073285,48.000053290449635,-1.2760009765625
GB-02,3275.863037109375,23.768707822080273,110.86034137515755,-2.4453125
GB-03,3708.812255859375,9.38879598253083,63.78585846303708,3.5927734375
GB-04,3604.14697265625,16.570095698766174,205.63467669408868,2.040802001953125
GB-05,3516.63818359375,23.958336171792595,79.61235062500184,2.541717529296875
GB-06,3438.47216796875,32.632715115225814,78.63840703926067,-0.9996337890625
GB-07,3639.318359375,7.201001547716077,65.03460718000402,-1.095489501953125
GB-08,3338.722900390625,30.838146164440747,195.79021728860292,-7.00714111328125
GB-09,3323.576171875,23.551191502595596,90.67488948678458,-0.20611572265625
GB-10,3674.732177734375,20.096239972940474,201.69036017123895,-1.151092529296875
GB-11,3475.585205078125,29.601622830517684,200.34265944785025,-4.701751708984375
GB-12,3166.78857421875,19.251754125840126,160.7859862861262,-3.349273681640625
GB-13,3006.3017578125,21.39706091362888,95.1450593646385,3.44024658203125
GB-14,3648.359375,20.802660915335668,75.08721076801848,3.363311767578125
GB-15,3151.8095703125,22.484944335407327,148.095041642619,-5.6602783203125
LN-01,1992.66015625,29.82256778360745,2.5821023031296044,5.79254150390625
LN-02,3676.24609375,22.076289114730827,157.7706796641361,-3.465179443359375
LN-03,3606.89208984375,23.100748532082143,90.87836042377045,-2.885986328125
LN-04,2820.507568359375,23.543231248663933,13.479177353264008,-3.703125
LN-05,2027.06298828125,15.1171187150433,345.4325388823103,2.2511749267578125
LN-06,2482.848876953125,30.67441704564429,93.55641380896283,-2.879150390625
LN-07,2841.87548828125,22.21173066863785,150.3709766112973,-1.599853515625
LN-08,3454.760498046875,44.95795961617859,145.13226965286816,-8.9151611328125
LN-09,2010.42431640625,13.611903238684231,52.20397056307203,2.17401123046875
LN-10,2001.2933349609375,18.864010795202166,40.740201810706516,5.4317169189453125
LN-11,3045.26318359375,16.396961906356232,87.29729881842225,-2.3309326171875
LN-12,3034.61572265625,24.31952364492896,120.5882810380329,1.529998779296875
LN-13,3782.31982421875,10.656930479979513,86.29265079006622,-0.3924560546875
LN-14,3657.482421875,20.26374088674823,222.50850750441734,0.498779296875
LN-15,3806.167724609375,22.728625942136347,31.724878983924206,2.166717529296875
OL-01,1689.057373046875,27.353807052753222,340.08239044534844,-3.758056640625
OL-02,1630.37353515625,20.26002805163149,145.85668222757923,1.582061767578125
OL-03,1685.781005859375,16.245720826436187,337.01435768924034,1.96514892578125
OL-04,1557.06298828125,25.422012821435274,123.41106538510688,-0.4755096435546875
OL-05,3195.912353515625,13.985322575185553,247.99486562840767,-2.274932861328125
OL-06,2036.5718994140625,29.424319605809824,140.8079035658896,0.4847869873046875
OL-07,2343.4345703125,33.87201828340874,141.7703393059848,4.016510009765625
OL-08,2039.81494140625,31.03031116866582,142.47577396101238,1.6950531005859375
OL-09,3446.42529296875,24.563441708593988,233.79390364997047,4.356842041015625
OL-10,3012.92822265625,16.941595712337083,236.2439168155459,3.00115966796875
OL-11,3201.90771484375,22.838826537711064,41.25372635315873,1.9361572265625
OL-12,2463.97412109375,9.298630413859883,40.64067769265454,1.635345458984375
OL-13,3429.21875,25.28038539940005,156.47037974672008,14.322662353515625
OL-14,3204.034423828125,7.970813923160361,296.14489822183515,1.807861328125
